date,tokyo_temp_mean,tokyo_temp_max,tokyo_temp_min,tokyo_hum,tokyo_press,tokyo_precip,tokyo_sun,kofu_temp_mean,kofu_temp_max,kofu_temp_min,kofu_hum,kofu_press,kofu_precip,kofu_sun
2025-03-31,7.041666666666667,8.2,5.6,62.166666666666664,1027.1125,0.0,0.0,7.016666666666666,10.8,4.4,60.708333333333336,1025.4541666666667,1.5,0.0
2025-04-01,5.104166666666667,5.7,4.2,95.79166666666667,1026.1,41.0,0.0,6.4875,8.0,5.0,89.66666666666667,1025.9166666666667,5.0,0.0
2025-04-02,9.475,13.3,5.9,90.75,1015.9,28.5,0.0,11.558333333333332,19.1,7.4,81.95833333333333,1014.9916666666667,6.0,0.0
2025-04-03,8.420833333333334,9.4,6.2,90.625,1013.8249999999999,5.5,0.0,10.020833333333334,13.3,6.4,83.20833333333333,1012.1375000000002,6.0,0.0
2025-04-04,11.416666666666666,17.8,5.6,59.791666666666664,1014.9458333333333,0.0,0.0,10.354166666666666,16.9,4.3,54.375,1014.8249999999999,0.0,0.0
2025-04-05,11.9625,16.3,6.4,59.958333333333336,1019.6958333333333,0.0,0.0,10.658333333333333,17.0,3.0,53.375,1019.0583333333333,0.0,0.0
2025-04-06,15.079166666666666,18.5,10.9,73.45833333333333,1015.2458333333334,0.0,0.0,12.945833333333331,18.1,7.9,66.91666666666667,1015.2625000000002,0.0,0.0
2025-04-07,14.25,19.0,10.6,61.333333333333336,1013.3166666666666,0.0,0.0,13.858333333333334,20.6,8.0,51.0,1012.7916666666666,0.0,0.0
2025-04-08,14.995833333333335,19.3,8.2,54.75,1011.4499999999999,0.0,0.0,13.620833333333332,21.3,5.5,47.583333333333336,1011.5708333333332,0.0,0.0
2025-04-09,16.291666666666668,22.7,11.2,51.125,1010.4583333333334,0.0,0.0,16.875,24.3,10.9,33.958333333333336,1009.1666666666666,0.0,0.0
2025-04-10,16.45,21.9,12.8,72.29166666666667,1010.9541666666668,14.0,0.0,14.783333333333333,20.3,9.2,63.541666666666664,1010.5833333333334,5.5,0.0
2025-04-11,15.458333333333334,19.4,13.0,83.79166666666667,1007.9125,2.0,0.0,15.608333333333334,20.8,11.9,73.79166666666667,1007.6916666666666,0.0,0.0
2025-04-12,15.295833333333334,19.5,12.1,67.33333333333333,1013.8083333333334,0.0,0.0,16.150000000000002,23.7,9.7,64.58333333333333,1012.1416666666665,0.0,0.0
2025-04-13,13.112499999999999,14.0,12.0,89.625,1010.7583333333332,12.0,0.0,13.3125,15.1,12.3,91.0,1008.6416666666668,18.5,0.0
2025-04-14,16.941666666666666,22.5,13.6,69.58333333333333,999.2333333333332,10.0,0.0,15.791666666666666,21.8,11.6,69.20833333333333,999.2125,2.5,0.0
2025-04-15,16.245833333333334,20.9,11.7,50.0,993.8208333333332,0.0,0.0,12.924999999999999,18.7,9.0,51.041666666666664,994.6,0.0,0.0
2025-04-16,14.783333333333333,19.7,8.2,36.208333333333336,1005.3916666666668,0.0,0.0,13.366666666666667,19.9,6.5,35.0,1005.5333333333333,0.0,0.0
2025-04-17,17.770833333333332,24.6,10.6,46.458333333333336,1012.7083333333334,0.0,0.0,16.308333333333334,27.0,6.9,50.166666666666664,1012.6791666666668,0.0,0.0
2025-04-18,19.245833333333334,24.3,14.4,65.66666666666667,1013.1291666666666,0.0,0.0,17.75,25.1,12.2,69.79166666666667,1013.8833333333332,0.0,0.0
2025-04-19,20.808333333333334,27.1,15.9,73.75,1013.0416666666666,0.0,0.0,21.27916666666667,30.0,15.0,62.666666666666664,1012.6749999999998,0.0,0.0
2025-04-20,20.5125,23.3,18.2,71.25,1010.6333333333333,0.0,0.0,19.53333333333333,23.9,16.3,72.83333333333333,1011.625,0.0,0.0
2025-04-21,18.495833333333334,24.2,13.1,59.416666666666664,1015.3958333333334,0.0,0.0,20.125,29.1,13.6,57.208333333333336,1013.5833333333334,0.0,0.0
2025-04-22,18.0,22.3,13.1,72.0,1015.2291666666666,0.0,0.0,18.008333333333336,22.8,13.9,62.75,1014.9125,0.0,0.0
2025-04-23,17.175,19.5,14.1,95.66666666666667,1004.4791666666666,16.5,0.0,18.775000000000002,22.0,15.7,82.33333333333333,1003.2041666666668,1.0,0.0
2025-04-24,19.39166666666667,22.8,17.1,83.70833333333333,1003.625,0.0,0.0,20.587500000000002,25.0,18.2,77.125,1002.3624999999998,0.0,0.0
2025-04-25,18.7375,21.8,16.9,78.0,1006.3125,0.0,0.0,20.212500000000002,27.0,14.4,57.208333333333336,1004.7708333333334,0.0,0.0
2025-04-26,14.450000000000001,19.1,10.8,68.58333333333333,1014.1583333333334,4.5,0.0,15.4625,20.8,11.2,55.541666666666664,1012.5124999999999,0.0,0.0
2025-04-27,17.045833333333334,22.3,9.9,64.75,1014.3166666666666,0.0,0.0,15.920833333333334,25.0,5.6,46.875,1015.225,0.0,0.0
2025-04-28,17.4375,22.0,13.3,73.16666666666667,1007.9708333333334,19.0,0.0,15.512499999999998,21.5,12.3,72.75,1008.5499999999998,9.0,0.0
2025-04-29,17.0875,22.8,13.0,57.083333333333336,1002.9541666666668,1.5,0.0,15.516666666666666,21.3,10.1,46.625,1003.1458333333334,0.0,0.0
2025-04-30,17.4375,23.3,11.5,47.916666666666664,1015.7375000000001,0.0,0.0,15.6,26.0,6.2,45.541666666666664,1015.9375,0.0,0.0
2025-05-01,18.208333333333332,22.7,13.0,70.58333333333333,1021.0583333333334,0.0,0.0,17.591666666666665,24.5,10.1,56.5,1019.9375,0.0,0.0
2025-05-02,16.224999999999998,18.1,14.1,90.33333333333333,1008.6166666666667,50.5,0.0,14.433333333333332,17.0,10.7,80.20833333333333,1009.2083333333334,32.5,0.0
2025-05-03,18.170833333333334,23.2,13.9,60.916666666666664,1005.6625,0.0,0.0,16.441666666666666,24.8,9.3,69.375,1005.6458333333334,0.0,0.0
2025-05-04,18.508333333333336,25.0,13.9,72.83333333333333,1004.6458333333334,0.0,0.0,19.8125,27.8,13.7,46.166666666666664,1003.4791666666666,0.0,0.0
2025-05-05,17.729166666666668,22.6,12.0,57.916666666666664,1012.8666666666668,0.0,0.0,17.120833333333334,23.7,9.7,38.291666666666664,1011.8666666666667,0.0,0.0
2025-05-06,14.8125,17.8,13.0,88.0,1007.3083333333334,24.5,0.0,13.779166666666669,15.5,12.6,85.54166666666667,1007.0833333333334,18.0,0.0
2025-05-07,17.8875,22.3,12.9,64.91666666666667,1006.4958333333333,3.5,0.0,17.683333333333334,23.8,12.6,67.70833333333333,1005.6875,1.5,0.0
2025-05-08,18.0,22.2,14.3,55.666666666666664,1021.3791666666666,0.0,0.0,17.866666666666667,23.7,13.2,58.125,1019.8791666666666,0.0,0.0
2025-05-09,18.104166666666668,22.3,14.9,76.79166666666667,1022.2125,3.0,0.0,16.941666666666666,22.9,13.4,67.79166666666667,1021.5666666666666,4.5,0.0
2025-05-10,18.7625,21.7,15.8,95.75,1002.3083333333333,14.0,0.0,19.020833333333332,25.2,13.7,82.0,1002.0499999999998,3.0,0.0
2025-05-11,20.466666666666665,25.4,15.7,70.625,1001.7125,1.0,0.0,20.295833333333334,27.2,14.5,60.041666666666664,1001.0833333333334,0.0,0.0
2025-05-12,16.8,19.8,15.6,90.08333333333333,1008.5041666666666,6.5,0.0,18.20416666666667,23.7,15.4,76.70833333333333,1007.1,1.0,0.0
2025-05-13,19.8,24.5,15.5,69.58333333333333,1017.2375000000001,0.0,0.0,20.075,27.3,14.6,63.333333333333336,1016.0958333333334,0.0,0.0
2025-05-14,20.579166666666666,26.2,15.9,72.625,1020.6083333333332,0.0,0.0,20.008333333333336,27.3,15.0,65.875,1019.9625,0.0,0.0
2025-05-15,21.075,26.7,16.7,74.125,1020.6833333333334,0.0,0.0,19.816666666666666,26.5,14.0,63.833333333333336,1020.1583333333333,0.0,0.0
2025-05-16,21.399999999999995,24.5,17.6,72.29166666666667,1020.0625,0.0,0.0,20.608333333333334,26.0,16.6,65.25,1019.7916666666666,0.0,0.0
2025-05-17,21.258333333333333,23.5,18.9,93.5,1010.5625,28.0,0.0,18.825,21.5,16.5,90.20833333333333,1010.9708333333334,15.5,0.0
2025-05-18,24.175,26.9,22.3,80.54166666666667,1005.1208333333334,0.0,0.0,22.875,27.5,19.4,81.125,1005.6791666666667,0.0,0.0
2025-05-19,19.179166666666667,21.9,17.7,81.66666666666667,1010.4291666666667,0.0,0.0,21.662499999999998,26.3,17.3,71.70833333333333,1008.4958333333334,0.0,0.0
2025-05-20,23.941666666666666,31.0,16.2,69.29166666666667,1009.5041666666666,0.0,0.0,22.1375,30.6,15.1,68.0,1010.4666666666667,0.0,0.0
2025-05-21,24.712500000000002,29.2,20.1,74.08333333333333,1009.1458333333334,0.0,0.0,23.862499999999997,30.7,18.3,72.5,1009.6708333333332,0.0,0.0
2025-05-22,22.95,27.4,17.0,79.08333333333333,1002.5625,0.0,0.0,24.487499999999997,30.1,21.0,70.5,1001.5749999999999,0.0,0.0
2025-05-23,18.85,22.8,16.7,64.83333333333333,1013.125,0.0,0.0,20.224999999999998,22.5,18.4,58.583333333333336,1010.5125000000002,0.0,0.0
2025-05-24,17.679166666666664,20.4,15.3,76.75,1014.6,6.5,0.0,18.570833333333336,22.1,15.1,61.416666666666664,1012.8541666666666,10.5,0.0
2025-05-25,17.72083333333333,20.3,14.8,91.375,1004.9541666666668,22.0,0.0,20.691666666666666,27.0,14.9,74.75,1003.0541666666667,22.5,0.0
2025-05-26,19.095833333333335,21.3,17.3,56.333333333333336,1017.0208333333334,0.0,0.0,18.704166666666666,21.5,15.9,57.375,1016.1458333333334,0.0,0.0
2025-05-27,17.908333333333335,19.8,16.2,71.70833333333333,1022.4416666666666,0.0,0.0,18.645833333333332,21.9,15.1,59.916666666666664,1020.8000000000001,1.0,0.0
2025-05-28,19.508333333333336,24.3,15.9,69.58333333333333,1019.2416666666667,0.5,0.0,19.337500000000002,27.0,13.7,71.5,1018.2916666666666,8.0,0.0
2025-05-29,19.454166666666666,22.8,15.8,69.08333333333333,1017.4333333333334,2.5,0.0,20.150000000000002,24.5,16.0,71.66666666666667,1016.0791666666668,0.5,0.0
2025-05-30,15.129166666666668,16.3,14.1,95.33333333333333,1011.3333333333334,30.0,0.0,16.158333333333335,18.9,14.3,83.79166666666667,1010.6125000000001,7.0,0.0
