tokyo_temp_mean,tokyo_temp_max,tokyo_temp_min,tokyo_hum,tokyo_press,tokyo_precip,tokyo_sun,kofu_temp_mean,kofu_temp_max,kofu_temp_min,kofu_hum,kofu_press,kofu_precip,kofu_sun,date
7.766666666666667,13.5,2.7,60.791666666666664,1021.2208333333334,0.0,0.0,5.537499999999999,13.9,-0.2,70.20833333333333,1021.9833333333332,0.0,0.0,2023-12-29
8.9625,14.1,5.2,63.083333333333336,1020.2583333333333,0.0,0.0,5.258333333333334,12.4,-0.7,70.91666666666667,1021.3208333333336,0.0,0.0,2023-12-30
9.216666666666667,12.3,6.0,78.70833333333333,1006.9416666666666,1.5,0.0,7.391666666666667,11.9,3.9,80.75,1007.9749999999999,1.0,0.0,2023-12-31
7.074999999999999,11.4,4.6,37.041666666666664,1015.4,0.0,0.0,4.808333333333334,10.5,-0.2,38.791666666666664,1016.025,0.0,0.0,2025-01-01
7.787499999999999,13.6,2.4,51.958333333333336,1015.275,0.0,0.0,3.608333333333333,12.0,-2.6,60.083333333333336,1016.3916666666665,0.0,0.0,2025-01-02
5.449999999999999,6.8,4.0,75.79166666666667,1014.8041666666668,0.0,0.0,4.3374999999999995,10.8,-2.1,59.25,1013.9916666666667,0.0,0.0,2025-01-03
5.054166666666666,9.3,1.9,52.958333333333336,1019.6583333333333,0.0,0.0,3.4166666666666665,10.1,-2.2,55.416666666666664,1019.3125,0.0,0.0,2025-01-04
4.595833333333333,9.3,0.5,58.625,1023.2083333333334,0.0,0.0,1.7583333333333335,8.3,-4.1,64.20833333333333,1023.9666666666667,0.0,0.0,2025-01-05
4.508333333333334,7.8,1.6,75.29166666666667,1014.1458333333334,25.0,0.0,0.8375,3.0,-2.3,85.375,1016.0208333333334,20.0,0.0,2025-01-06
8.049999999999999,12.9,4.1,71.70833333333333,1001.0333333333333,0.0,0.0,4.7875,11.7,1.6,71.41666666666667,1003.0583333333334,0.0,0.0,2025-01-07
6.6000000000000005,11.3,2.9,39.666666666666664,1008.4499999999999,0.0,0.0,3.3624999999999994,9.7,-1.7,46.208333333333336,1009.8125,0.0,0.0,2025-01-08
6.704166666666667,12.0,2.6,37.208333333333336,1007.4833333333332,0.0,0.0,2.8958333333333335,10.0,-2.6,42.291666666666664,1008.9291666666667,0.0,0.0,2025-01-09
4.583333333333333,8.8,1.2,34.708333333333336,1014.25,0.0,0.0,2.4208333333333334,7.4,-2.1,35.75,1015.1916666666666,0.0,0.0,2025-01-10
5.254166666666666,10.6,0.8,42.125,1021.1750000000001,0.0,0.0,0.9916666666666666,9.1,-4.6,54.541666666666664,1022.6333333333336,0.0,0.0,2025-01-11
5.362500000000001,7.9,2.9,62.125,1018.9208333333332,0.0,0.0,2.7791666666666663,8.1,-1.5,61.583333333333336,1019.2541666666666,0.0,0.0,2025-01-12
6.854166666666667,12.9,1.4,51.208333333333336,1016.775,0.0,0.0,3.9666666666666663,12.0,-2.2,57.75,1017.8291666666665,0.0,0.0,2025-01-13
6.433333333333334,12.4,1.6,55.666666666666664,1018.375,0.0,0.0,3.6750000000000003,11.0,-2.6,54.458333333333336,1019.5791666666668,0.0,0.0,2025-01-14
7.629166666666667,14.7,3.0,51.625,1012.0,0.0,0.0,4.183333333333334,10.9,-1.4,54.416666666666664,1013.4208333333332,0.0,0.0,2025-01-15
4.5625,7.6,2.8,50.375,1017.1458333333334,0.0,0.0,2.4458333333333333,8.1,-2.3,57.625,1017.625,0.0,0.0,2025-01-16
4.9125,9.3,1.1,44.25,1017.6999999999999,0.0,0.0,2.8624999999999994,9.7,-2.3,55.75,1018.0291666666666,0.0,0.0,2025-01-17
4.5874999999999995,8.8,1.6,47.291666666666664,1023.7333333333332,0.0,0.0,2.2291666666666665,8.0,-3.7,53.583333333333336,1024.2833333333333,0.0,0.0,2025-01-18
5.945833333333333,8.5,1.8,55.791666666666664,1020.4666666666667,0.0,0.0,5.808333333333334,10.7,0.1,56.208333333333336,1020.3000000000001,0.0,0.0,2025-01-19
